"ID","AI_REASON","AMOUNT","CATEGORY","DESCRIPTION","RISK_SCORE","STATUS","TIMESTAMP","USER_ID"
"29","Unusual nighttime hour","74.0","Food","Patisserie","0.15","CONFIRMED","2026-05-04 22:40:27.827432","49"
"30","Unusual nighttime hour","58.0","Food","Patisserie","0.15","CONFIRMED","2026-05-04 23:00:27.834023","82"
"31","Unusual nighttime hour","436.0","Clothes","Footwear Store","0.15","REJECTED","2026-05-04 23:20:27.838488","90"
"32","Unusual nighttime hour","76.0","Shopping","Pet Shop Supplies","0.15","REJECTED","2026-05-04 23:40:27.843489","19"
"33","Unusual nighttime hour","92.0","Beauty","Skincare Clinic","0.15","REJECTED","2026-05-05 00:00:27.852255","21"
"34","Unusual nighttime hour","50.0","Transport","Car Wash","0.15","REJECTED","2026-05-05 00:20:27.857773","63"
"35","Unusual nighttime hour","18.0","Beauty","Spa Treatment","0.15","REJECTED","2026-05-05 00:40:27.863773","11"
"36","New user with significant amount; High-risk category (Cyber); Unusual nighttime hour","1893.0","Cyber","Crypto Exchange","1.0","REJECTED","2026-05-05 01:00:27.869308","30"
"37","Anomaly amount; High-risk category (Cyber); Unusual nighttime hour","555.0","Cyber","Crypto Exchange","1.0","REJECTED","2026-05-05 01:20:27.873494","18"
"38","Unusual nighttime hour","28.0","Transport","Train Ticket","0.15","REJECTED","2026-05-05 01:40:27.880352","15"
"39","Unusual nighttime hour","12.0","Subscriptions","Online Newspaper","0.15","CONFIRMED","2026-05-05 02:00:27.885936","98"
"40","Unusual nighttime hour","100.0","Food","McDonalds","0.15","CONFIRMED","2026-05-05 02:20:27.892781","84"
"41","Unusual nighttime hour","181.0","Shopping","Amazon","0.15","CONFIRMED","2026-05-05 02:40:27.89976","10"
"42","Unusual nighttime hour","54.0","Transport","Electric Scooter Rental","0.15","REJECTED","2026-05-05 03:00:27.907647","29"
"43","Unusual nighttime hour","204.0","Clothes","Hollister","0.15","REJECTED","2026-05-05 03:20:27.915154","12"
"44","Unusual nighttime hour","34.0","Food","Farmers Market","0.15","REJECTED","2026-05-05 03:40:27.922675","25"
"45","High amount; Unusual nighttime hour","299.0","Health","Personal Trainer Session","0.4","REJECTED","2026-05-05 04:00:27.92821","20"
"46","High-risk category (Cyber); Unusual nighttime hour","9873.0","Cyber","VPN Service","0.85","REJECTED","2026-05-05 04:20:27.935318","99"
"47","Unusual nighttime hour","117.0","Food","Gourmet Market","0.15","REJECTED","2026-05-05 04:40:27.940941","36"
"48","Unusual nighttime hour","85.0","Food","Sushi Bar","0.15","REJECTED","2026-05-05 05:00:27.946597","74"
"49","Anomaly amount; Unusual nighttime hour","298.0","Health","Optician Visit","0.65","REJECTED","2026-05-05 05:20:27.951595","96"
"50","Unusual nighttime hour, not for automatic renewal; Subscription price mismatch (expected $8.99)","88.99","Subscriptions","Disney+","0.5","REJECTED","2026-05-05 05:10:00","37"
"51","Unusual nighttime hour, not for automatic renewal; Subscription price mismatch (expected $8.99)","88.99","Subscriptions","Disney+","0.5","REJECTED","2026-05-05 05:12:00","37"
"52","Unusual nighttime hour","92.0","Utilities","Electricity Bill","0.15","REJECTED","2026-05-05 05:40:27.956106","80"
"53","Unusual nighttime hour, not for automatic renewal","9.99","Subscriptions","HBO Max","0.1","CONFIRMED","2026-05-05 06:00:27.961108","86"
"54","Unusual nighttime hour","78.0","Food","Food Truck","0.15","REJECTED","2026-05-05 06:20:27.966219","68"
"55","Unusual nighttime hour","35.0","Clothes","Children's Clothing","0.15","REJECTED","2026-05-05 06:40:27.969649","53"
"56","Standard transaction","99.0","Food","McDonalds","0.0","CONFIRMED","2026-05-05 07:00:27.973658","23"
"57","Standard transaction","272.0","Clothes","Clothing Boutique","0.0","CONFIRMED","2026-05-05 07:20:27.979183","37"
"58","New user with significant amount; High-risk category (Cyber)","2208.0","Cyber","DarkWeb Entry","0.8999999999999999","REJECTED","2026-05-05 07:40:27.983183","45"
"59","Anomaly amount","930.0","Insurance","Travel Insurance","0.5","REJECTED","2026-05-05 08:00:27.987708","45"
"60","Standard transaction","231.0","Shopping","eBay Purchase","0.0","CONFIRMED","2026-05-05 08:20:27.993299","48"
"61","Standard transaction","4.99","Subscriptions","Amazon Prime","0.0","CONFIRMED","2026-05-05 08:40:28.000447","39"
"62","Standard transaction","36.0","Utilities","Waste Tax","0.0","CONFIRMED","2026-05-05 09:00:28.004956","65"
"63","High amount","266.0","Health","Yoga Class","0.3","REJECTED","2026-05-05 09:20:28.010241","51"
"64","Standard transaction","32.0","Transport","Gas Station","0.0","CONFIRMED","2026-05-05 09:40:28.017191","35"
"65","High amount","328.0","Utilities","Mobile Phone Plan","0.3","REJECTED","2026-05-05 10:00:28.022705","32"
"66","Standard transaction","177.0","Utilities","Software License","0.0","CONFIRMED","2026-05-05 10:20:28.029232","97"
"67","Standard transaction","11.0","Transport","Public Transport Pass","0.0","CONFIRMED","2026-05-05 10:40:28.03675","40"
"68","Anomaly amount; High-risk category (Cyber)","2209.0","Cyber","Crypto Exchange","1.0","REJECTED","2026-05-05 11:00:28.040746","19"
"69","Standard transaction","10.99","Subscriptions","Spotify","0.0","CONFIRMED","2026-05-05 11:20:28.043747","53"
"70","Standard transaction","150.0","Beauty","Sephora","0.0","CONFIRMED","2026-05-05 11:40:28.048291","97"
"71","Anomaly amount","78.0","Utilities","Cloud Storage (iCloud/Drive)","0.5","CONFIRMED","2026-05-05 12:00:28.051268","98"
"72","Standard transaction","12.0","Subscriptions","Online Newspaper","0.0","CONFIRMED","2026-05-05 12:10:28.055772","17"
"73","Standard transaction","24.5","Utilities","Internet Provider","0.0","CONFIRMED","2026-05-05 12:15:00","42"
"74","Standard transaction","27.5","Utilities","Internet Provider","0.0","CONFIRMED","2026-05-05 12:15:02","42"
"75","Standard transaction","30.5","Utilities","Internet Provider","0.0","CONFIRMED","2026-05-05 12:15:04","42"
"76","Standard transaction","33.5","Utilities","Internet Provider","0.0","CONFIRMED","2026-05-05 12:15:06","42"
"77","High velocity (5 trans. in < 3min)","15.0","Utilities","Internet Provider","0.6","REJECTED","2026-05-05 12:15:08","42"
"78","Standard transaction","84.0","Beauty","Sephora","0.0","CONFIRMED","2026-05-05 12:40:28.05878","56"
"79","Standard transaction","9.99","Subscriptions","HBO Max","0.0","CONFIRMED","2026-05-05 13:00:28.060809","54"
"80","High amount","289.0","Health","Optician Visit","0.3","REJECTED","2026-05-05 13:20:28.06378","37"
"81","High amount","308.0","Shopping","Amazon","0.1","CONFIRMED","2026-05-05 13:40:28.068316","11"
"82","Subscription price mismatch (expected $10.99)","50.0","Subscriptions","Apple Music","0.4","REJECTED","2026-05-05 13:50:00","61"
"83","Standard transaction","171.0","Utilities","Internet Provider","0.0","CONFIRMED","2026-05-05 14:00:28.070314","23"
"84","Standard transaction","162.0","Shopping","Office Supplies","0.0","CONFIRMED","2026-05-05 14:20:28.074316","62"
"85","Standard transaction","4.99","Subscriptions","Amazon Prime","0.0","CONFIRMED","2026-05-05 14:40:28.076824","38"
"86","Anomaly amount","96.0","Food","Street Food Festival","0.5","REJECTED","2026-05-05 15:00:28.080825","38"
"87","New user with significant amount; High-risk category (Cyber)","9388.0","Cyber","Crypto Exchange","0.8999999999999999","REJECTED","2026-05-05 15:20:28.083827","13"
"88","Standard transaction","54.0","Beauty","Lush Cosmetics","0.0","CONFIRMED","2026-05-05 15:40:28.086378","42"
"89","High amount","317.0","Utilities","Cloud Storage (iCloud/Drive)","0.3","REJECTED","2026-05-05 16:00:28.090379","72"
"90","Standard transaction","57.0","Health","Yoga Class","0.0","CONFIRMED","2026-05-05 16:20:28.094887","64"
"91","Anomaly amount","287.0","Health","Vitamin Store","0.5","REJECTED","2026-05-05 16:40:28.099907","98"
"92","High amount","201.0","Entertainment","Escape Room","0.3","REJECTED","2026-05-05 17:00:28.104907","96"
"93","Standard transaction","58.0","Transport","Uber","0.0","CONFIRMED","2026-05-05 17:20:28.110441","80"
"94","New user with significant amount; High-risk category (Cyber)","6955.0","Cyber","DarkWeb Entry","0.8999999999999999","REJECTED","2026-05-05 17:40:28.119978","69"
"95","High amount","1130.0","Travel","Hotel Booking","0.25","CONFIRMED","2026-05-05 18:00:28.126026","87"
"96","High-risk category (Cyber)","7676.0","Cyber","DarkWeb Entry","0.7","REJECTED","2026-05-05 18:20:28.13102","99"
"97","Standard transaction","111.0","Entertainment","Golf Course Fee","0.0","CONFIRMED","2026-05-05 18:40:28.135082","99"
"98","Standard transaction","32.0","Food","Supermarket","0.0","CONFIRMED","2026-05-05 19:00:28.139633","42"
"99","Standard transaction","19.99","Utilities","Book - Hacker Ethics and Computer Security","0.0","CONFIRMED","2026-05-05 19:15:00","35"
"100","Standard transaction","19.99","Utilities","Book - Hacker Ethics and Computer Security","0.0","CONFIRMED","2026-05-05 19:15:00","35"
"101","Anomaly amount","1061.0","Travel","Airbnb Stay","0.5","CONFIRMED","2026-05-05 19:20:28.144792","23"
"102","Standard transaction","4.99","Subscriptions","Amazon Prime","0.0","CONFIRMED","2026-05-05 19:40:28.150948","54"
"103","Standard transaction","34.99","Subscriptions","LinkedIn Premium","0.0","CONFIRMED","2026-05-05 20:00:28.155464","49"
"104","Standard transaction","179.0","Shopping","Apple Store","0.0","CONFIRMED","2026-05-05 20:20:28.161483","32"
"105","Anomaly amount; High-risk category (Cyber)","796.0","Cyber","DarkWeb Entry","1.0","REJECTED","2026-05-05 20:40:28.168035","35"
"106","Anomaly amount; High-risk category (Cyber)","9974.0","Cyber","VPN Service","1.0","REJECTED","2026-05-05 21:00:28.174029","11"
"107","Anomaly amount","539.0","Travel","Ryanair","0.5","CONFIRMED","2026-05-05 21:20:28.18133","63"
"108","Anomaly amount","202.0","Health","Dental Checkup","0.5","REJECTED","2026-05-05 21:40:28.188961","59"
"109","Unusual nighttime hour","11.0","Entertainment","Steam","0.15","CONFIRMED","2026-05-05 22:00:28.195375","62"
"110","High amount; Unusual nighttime hour","447.0","Shopping","Home Decor","0.4","CONFIRMED","2026-05-05 22:20:28.202513","10"
"111","Unusual nighttime hour","45.0","Transport","Car Wash","0.15","CONFIRMED","2026-05-05 22:40:28.209237","92"
"112","Unusual nighttime hour","58.0","Clothes","Children's Clothing","0.15","CONFIRMED","2026-05-05 23:00:28.215663","65"
"113","Unusual nighttime hour","77.0","Food","Patisserie","0.15","CONFIRMED","2026-05-05 23:20:28.223333","74"
"114","Unusual nighttime hour","601.0","Travel","Hotel Booking","0.15","CONFIRMED","2026-05-05 23:40:28.230076","25"
"115","High-risk category (Cyber); Unusual nighttime hour","9401.0","Cyber","Crypto Exchange","0.85","REJECTED","2026-05-06 00:00:28.238374","99"
"116","Unusual nighttime hour","65.0","Beauty","Fragrance Store","0.15","REJECTED","2026-05-06 00:20:28.246917","16"
"117","Unusual nighttime hour","15.0","Transport","Car Wash","0.15","REJECTED","2026-05-06 00:40:28.252364","30"
"118","High-risk category (Cyber); Unusual nighttime hour","9167.0","Cyber","Crypto Exchange","0.85","REJECTED","2026-05-06 01:00:28.258009","99"
"119","Unusual nighttime hour","34.99","Shopping","Amazon","0.15","CONFIRMED","2026-05-06 01:11:00","13"
"120","Unusual nighttime hour","12.99","Shopping","Amazon","0.15","CONFIRMED","2026-05-06 01:19:00","13"
"121","Unusual nighttime hour","63.0","Food","Gourmet Market","0.15","REJECTED","2026-05-06 01:20:28.266203","21"
"122","Anomaly amount; Unusual nighttime hour","398.0","Clothes","Hollister","0.65","REJECTED","2026-05-06 01:40:28.273456","82"
"123","Suspicious keyword in non-cyber category; Unusual nighttime hour","1100.99","Travel","Hire-a-Hacker professional services deposit","0.85","REJECTED","2026-05-06 01:41:00","82"
"124","Unusual nighttime hour","87.0","Food","Coffee Roastery","0.15","REJECTED","2026-05-06 02:00:28.280988","33"
"125","Unusual nighttime hour","12.0","Beauty","Nail Salon","0.15","REJECTED","2026-05-06 02:20:28.286214","35"
"126","Unusual nighttime hour","454.0","Travel","Travel Agency Package","0.15","REJECTED","2026-05-06 02:40:28.291802","23"
"127","New user with significant amount; Unusual nighttime hour","1315.0","Travel","Car Rental","0.35","REJECTED","2026-05-06 03:00:28.298379","9"
"128","Unusual nighttime hour","222.0","Entertainment","Gym Membership","0.15","REJECTED","2026-05-06 03:20:28.301377","35"
"129","Unusual nighttime hour","167.0","Entertainment","Gym Membership","0.15","REJECTED","2026-05-06 03:40:28.307035","77"
"130","Anomaly amount; Unusual nighttime hour","509.0","Insurance","Travel Insurance","0.65","REJECTED","2026-05-06 04:00:28.312049","98"
"131","Unusual nighttime hour","593.0","Travel","Travel Agency Package","0.15","REJECTED","2026-05-06 04:20:28.318531","57"
"132","Unusual nighttime hour, not for automatic renewal","34.99","Subscriptions","LinkedIn Premium","0.1","CONFIRMED","2026-05-06 04:40:28.322537","64"
"133","Unusual nighttime hour, not for automatic renewal","8.99","Subscriptions","Disney+","0.1","CONFIRMED","2026-05-06 05:00:28.327194","13"
"134","Unusual nighttime hour","54.0","Transport","Public Transport Pass","0.15","REJECTED","2026-05-06 05:20:28.332368","55"
"135","Unusual nighttime hour","115.0","Food","Patisserie","0.15","REJECTED","2026-05-06 05:40:28.337887","62"
"136","High-risk category (Cyber); Unusual nighttime hour","5348.0","Cyber","Crypto Exchange","0.85","REJECTED","2026-05-06 06:00:28.341945","99"
"137","Unusual nighttime hour","150.0","Clothes","Nike Store","0.15","REJECTED","2026-05-06 06:20:28.347475","97"
"138","Unusual nighttime hour","20.0","Entertainment","Cinema","0.15","REJECTED","2026-05-06 06:40:28.351479","82"
"139","Anomaly amount","250.0","Health","Personal Trainer Session","0.5","REJECTED","2026-05-06 07:00:28.356097","86"
"140","Standard transaction","9.0","Transport","Airport Duty Free","0.0","CONFIRMED","2026-05-06 07:20:28.35908","81"
"141","Standard transaction","51.0","Beauty","Amazon","0.0","CONFIRMED","2026-05-06 07:40:28.366984","61"
"142","Anomaly amount; High-risk category (Cyber)","6740.0","Cyber","Crypto Exchange","1.0","REJECTED","2026-05-06 08:00:28.377263","84"
"143","High amount","211.0","Utilities","Mobile Phone Plan","0.3","REJECTED","2026-05-06 08:20:28.381274","66"
"144","Standard transaction","100.0","Shopping","Apple Store","0.0","CONFIRMED","2026-05-06 08:40:28.383277","46"
"145","Standard transaction","129.0","Health","Pharmacy","0.0","CONFIRMED","2026-05-06 09:00:28.385807","63"
"146","Anomaly amount","638.0","Insurance","Travel Insurance","0.5","REJECTED","2026-05-06 09:20:28.388806","100"
"147","Standard transaction","141.0","Beauty","Spa Treatment","0.0","CONFIRMED","2026-05-06 09:40:28.391071","79"
"148","Standard transaction","271.0","Shopping","Bookstore","0.0","CONFIRMED","2026-05-06 10:00:28.394397","30"
"149","Standard transaction","30.0","Transport","Gas Station","0.0","CONFIRMED","2026-05-06 10:20:28.399921","6"
"150","High amount","199.0","Entertainment","Tennis Court Rental","0.3","REJECTED","2026-05-06 10:40:28.404921","41"
"151","New user with significant amount","1479.0","Travel","Travel Agency Package","0.2","CONFIRMED","2026-05-06 11:00:28.408438","24"
"152","New user with significant amount; High-risk category (Cyber)","5992.0","Cyber","VPN Service","0.8999999999999999","REJECTED","2026-05-06 11:20:28.410441","43"
"153","Anomaly amount","1349.0","Insurance","Travel Insurance","0.5","REJECTED","2026-05-06 11:40:28.414957","3"
"154","Anomaly amount; High-risk category (Cyber)","7628.0","Cyber","VPN Service","1.0","REJECTED","2026-05-06 12:00:28.417479","2"
"155","Standard transaction","36.0","Health","Optician Visit","0.0","CONFIRMED","2026-05-06 12:20:28.422042","49"
"156","Anomaly amount","59.0","Health","Dental Checkup","0.5","CONFIRMED","2026-05-06 12:40:28.425183","75"
"157","Standard transaction","4.99","Utilities","VPN Service","0.0","CONFIRMED","2026-05-06 12:53:00","21"
"158","Standard transaction","4.99","Utilities","VPN Service","0.0","CONFIRMED","2026-05-06 12:53:02","21"
"159","Standard transaction","4.99","Utilities","VPN Service","0.0","CONFIRMED","2026-05-06 12:53:04","21"
"160","Standard transaction","4.99","Utilities","VPN Service","0.0","CONFIRMED","2026-05-06 12:53:06","21"
"161","High velocity (5 trans. in < 3min)","4.99","Utilities","VPN Service","0.6","REJECTED","2026-05-06 12:53:08","21"
"162","Standard transaction","115.0","Beauty","Amazon","0.0","CONFIRMED","2026-05-06 13:00:28.429192","34"
"163","Standard transaction","42.0","Insurance","Health Insurance","0.0","CONFIRMED","2026-05-06 13:20:28.432437","99"
"164","New user with significant amount; High-risk category (Cyber)","9295.0","Cyber","DarkWeb Entry","0.8999999999999999","REJECTED","2026-05-06 13:40:28.435954","31"
"165","Standard transaction","91.0","Food","Wine Shop","0.0","CONFIRMED","2026-05-06 14:00:28.437954","49"
"166","Standard transaction","219.0","Health","Optician Visit","0.0","CONFIRMED","2026-05-06 14:20:28.441447","88"
"167","Anomaly amount","221.0","Utilities","Software License","0.5","CONFIRMED","2026-05-06 14:40:28.444885","65"
"168","Standard transaction","56.0","Transport","Car Wash","0.0","CONFIRMED","2026-05-06 15:00:28.449354","56"
"169","High-risk category (Cyber)","5734.0","Cyber","VPN Service","0.7","REJECTED","2026-05-06 15:20:28.452417","99"
"170","Standard transaction","98.0","Clothes","Zara","0.0","CONFIRMED","2026-05-06 15:40:28.455914","50"
"171","Anomaly amount","556.0","Insurance","Travel Insurance","0.5","REJECTED","2026-05-06 16:00:28.45896","97"
"172","High amount","267.0","Health","Pharmacy","0.3","REJECTED","2026-05-06 16:20:28.463301","47"
"173","Anomaly amount; High-risk category (Cyber)","6756.0","Cyber","Crypto Exchange","1.0","REJECTED","2026-05-06 16:40:28.46637","70"
"174","High amount","182.0","Travel","Airbnb Stay","0.3","CONFIRMED","2026-05-06 17:00:28.469698","15"
"175","Standard transaction","369.0","Clothes","Sportswear Shop","0.0","CONFIRMED","2026-05-06 17:20:28.471708","4"
"176","Subscription price mismatch (expected $4.99)","99.99","Subscriptions","Amazon Prime","0.4","REJECTED","2026-05-06 17:30:00","45"
"177","Anomaly amount; High-risk category (Cyber)","2739.0","Cyber","VPN Service","1.0","REJECTED","2026-05-06 17:40:28.475196","39"
"178","Anomaly amount; High-risk category (Cyber)","6725.0","Cyber","DarkWeb Entry","1.0","REJECTED","2026-05-06 18:00:28.478213","33"
"179","Standard transaction","32.0","Food","Pizza Delivery","0.0","CONFIRMED","2026-05-06 18:20:28.482269","82"
"180","New user with significant amount; High-risk category (Cyber)","5540.0","Cyber","DarkWeb Entry","0.8999999999999999","REJECTED","2026-05-06 18:40:28.485289","5"
"181","Anomaly amount","577.0","Shopping","Amazon","0.5","CONFIRMED","2026-05-06 19:00:28.487829","93"
"182","Standard transaction","189.0","Health","Vitamin Store","0.0","CONFIRMED","2026-05-06 19:20:28.490831","10"
"183","Standard transaction","555.0","Travel","Travel Agency Package","0.0","CONFIRMED","2026-05-06 19:40:28.493827","39"
"184","Anomaly amount","138.0","Shopping","Electronics Store","0.5","CONFIRMED","2026-05-06 20:00:28.497356","92"
"185","Standard transaction","8.99","Subscriptions","Disney+","0.0","CONFIRMED","2026-05-06 20:20:28.49936","33"
"186","Standard transaction","48.0","Utilities","Electricity Bill","0.0","CONFIRMED","2026-05-06 20:40:28.502357","4"
"187","Standard transaction","119.0","Food","Street Food Festival","0.0","CONFIRMED","2026-05-06 21:00:28.504356","45"
"188","Standard transaction","50.0","Beauty","Hair Salon","0.0","CONFIRMED","2026-05-06 21:20:28.508428","12"
"189","Standard transaction","59.0","Transport","Airport Duty Free","0.0","CONFIRMED","2026-05-06 21:40:28.517046","8"
"190","Unusual nighttime hour","28.0","Transport","Train Ticket","0.1","CONFIRMED","2026-05-06 22:00:28.524931","62"
"191","Anomaly amount; High-risk category (Cyber); Unusual nighttime hour","1231.0","Cyber","DarkWeb Entry","1.0","REJECTED","2026-05-06 22:20:28.537056","54"
"192","Unusual nighttime hour","31.95","Beauty","Amazon","0.15","CONFIRMED","2026-05-06 22:32:00","93"
"193","Unusual nighttime hour","196.0","Insurance","Travel Insurance","0.1","CONFIRMED","2026-05-06 22:40:28.540405","42"
"194","Unusual nighttime hour","99.0","Utilities","Water Bill","0.1","CONFIRMED","2026-05-06 23:00:28.544049","84"
"195","Unusual nighttime hour","43.0","Transport","Uber","0.1","CONFIRMED","2026-05-06 23:20:28.550815","55"
"196","Unusual nighttime hour","29.0","Beauty","Hair Salon","0.15","REJECTED","2026-05-06 23:40:28.556135","47"
"197","Unusual nighttime hour","80.0","Beauty","Amazon","0.1","CONFIRMED","2026-05-07 00:00:28.560134","56"
"198","Unusual nighttime hour","48.0","Transport","Public Transport Pass","0.15","REJECTED","2026-05-07 00:20:28.565845","10"
"199","Unusual nighttime hour","190.0","Entertainment","Concert Ticket","0.15","REJECTED","2026-05-07 00:40:28.573297","4"
"200","Unusual nighttime hour","45.0","Transport","Public Transport Pass","0.15","REJECTED","2026-05-07 01:00:28.587001","6"
"201","Unusual nighttime hour","285.0","Clothes","Nike Store","0.15","REJECTED","2026-05-07 01:20:28.590395","19"
"202","Unusual nighttime hour","108.0","Travel","Car Rental","0.15","REJECTED","2026-05-07 01:40:28.596122","80"
"203","Unusual nighttime hour","299.0","Utilities","Online Course Subscription","0.15","REJECTED","2026-05-07 02:00:28.600144","7"
"204","Anomaly amount; High-risk category (Cyber); Unusual nighttime hour","7862.0","Cyber","DarkWeb Entry","1.0","REJECTED","2026-05-07 02:20:28.602143","45"
"205","Anomaly amount; High-risk category (Cyber); Unusual nighttime hour","4209.0","Cyber","DarkWeb Entry","1.0","REJECTED","2026-05-07 02:40:28.606754","56"
"206","Unusual nighttime hour","44.0","Beauty","Fragrance Store","0.15","REJECTED","2026-05-07 03:00:28.609762","70"
"207","Anomaly amount; Unusual nighttime hour","1388.0","Travel","Ryanair","0.65","REJECTED","2026-05-07 03:20:28.614242","93"
"208","Anomaly amount; Unusual nighttime hour","425.0","Insurance","Travel Insurance","0.65","REJECTED","2026-05-07 03:40:28.617585","53"
"209","High amount; Unusual nighttime hour","145.0","Entertainment","Amusement Park","0.4","REJECTED","2026-05-07 04:00:28.621595","8"
"210","Unusual nighttime hour","238.0","Utilities","Electricity Bill","0.15","REJECTED","2026-05-07 04:20:28.625253","41"
"211","Anomaly amount; Unusual nighttime hour","778.0","Travel","Ryanair","0.65","REJECTED","2026-05-07 04:40:28.629262","88"
"212","Unusual nighttime hour","63.0","Clothes","Children's Clothing","0.15","REJECTED","2026-05-07 05:00:28.634208","46"
"213","Unusual nighttime hour","236.0","Entertainment","Museum Entry","0.15","REJECTED","2026-05-07 05:20:28.647878","25"
"214","Unusual nighttime hour","108.0","Utilities","Waste Tax","0.15","REJECTED","2026-05-07 05:40:28.651873","41"
"215","Unusual nighttime hour, not for automatic renewal","4.99","Subscriptions","Amazon Prime","0.1","CONFIRMED","2026-05-07 06:00:28.653872","88"
"216","High-risk category (Cyber); Unusual nighttime hour","7394.0","Cyber","Crypto Exchange","0.85","REJECTED","2026-05-07 06:20:28.657151","99"
"217","Unusual nighttime hour","86.0","Food","Business Lunch","0.15","CONFIRMED","2026-05-07 06:40:28.659132","16"
"218","Standard transaction","386.0","Insurance","Travel Insurance","0.0","CONFIRMED","2026-05-07 07:00:28.663606","11"
"219","Standard transaction","10.99","Subscriptions","Apple Music","0.0","CONFIRMED","2026-05-07 07:20:28.666165","97"
"220","Suspicious keyword in non-cyber category","110.0","Food","Premium DarkWeb Forum Access - Lifetime","0.7","REJECTED","2026-05-07 07:30:00","77"
"221","Standard transaction","225.0","Entertainment","Golf Course Fee","0.0","CONFIRMED","2026-05-07 07:40:28.669522","33"
"222","Standard transaction","24.5","Entertainment","Steam","0.0","CONFIRMED","2026-05-07 07:52:00","71"
"223","Standard transaction","27.5","Entertainment","Steam","0.0","CONFIRMED","2026-05-07 07:52:02","71"
"224","Standard transaction","30.5","Entertainment","Steam","0.0","CONFIRMED","2026-05-07 07:52:04","71"
"225","Standard transaction","33.5","Entertainment","Steam","0.0","CONFIRMED","2026-05-07 07:52:06","71"
"226","High velocity (5 trans. in < 3min)","15.0","Entertainment","Steam","0.6","REJECTED","2026-05-07 07:52:08","71"
"227","Standard transaction","204.0","Utilities","Software License","0.0","CONFIRMED","2026-05-07 08:00:28.671521","18"
